Município,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
FREI ROGÉRIO,106707.92,113997.82,115406.81,116015.32,132230.2,145745.11,173635.71,169953.71,154921.45,185757.59,206203.64,216952.22,251271.97
GALVÃO,113869.55,139616.15,137577.13,158501.47,214497.04,195646.26,279644.91,295603.6,311292.56,377756.94,315241.59,360263.62,465210.19
GAROPABA,2442135.74,3040572.26,3609894.66,4542454.68,5489691.44,6180404.75,6713529.56,7419669.7,8191509.66,8875684.5,9274645.77,9343594.7,11091653.06
GARUVA,2805842.99,3538711.16,3954659.79,4648680.59,5842383.17,5955886.41,6408149.01,7165913.81,7118306.76,7500280.09,8422424.65,8141361.88,9995983.22
GASPAR,24753042.73,28073902.27,29195671.99,27387391.09,32712304.3,36467742.06,37839099.42,42220500.3,46721705.08,49950373.36,53922706.69,56398222.71,68740642.94
GOVERNADOR CELSO RAMOS,749019.01,936932.75,1150577.71,1219778.09,2105633.69,2389910.93,2859773.11,2956577.96,3567436.59,3985851.76,3439187.77,3061872.28,5116558.82
GRÃO PARÁ,686685.42,846651.32,969824.09,1093230,1304274.33,1390301.02,1751066.69,1741018.61,2224298.94,2271580.25,2416300.72,2664392.39,3047439.81
GRAVATAL,1500402.83,1851220.15,1745474.03,2315114.87,2484205.85,2872777.83,3356315.75,3494797.2,3929283.48,4149145.65,4264823.05,4137288.28,5411128.25
GUABIRUBA,5225189.26,6494071.06,7433389.12,8390876.84,9873838.58,11262305.13,11631510.64,12863831.24,14220317.82,15209947.11,16868311.89,16767984.86,19645137.6
GUARACIABA,813421.85,1043991.84,1284608.51,1477025.77,1742573.17,2010646.42,1961891.85,2318379.06,2547208.52,2938262.8,3181730.07,3286351.37,3948925.03
GUARAMIRIM,12120399.78,14799602.16,16473760.35,19239749.98,22217791.87,24337638.84,24803048.78,24939250.65,26909792,28548957.66,30761437.01,31603499.47,38972011.3
GUARUJÁ DO SUL,473678.91,446769.64,546742.98,711511.79,831850.44,897255.29,1004857.56,1061943.27,1127195.3,1260981.2,1378222.43,1345994.71,1670300.92
GUATAMBÚ,1240968.95,1660390.38,1742797.16,2007132.76,2539098.07,3063912.63,3540962.79,3698420.03,4481969.97,4202229.72,4593445.77,4794186.97,5848437.48
HERVAL D'OESTE,2976364.15,3233265.06,3943822.36,4524440.43,4619502.95,5328394.42,4364492.63,5041514.22,6821487.87,7060880.75,6296990.75,6669841.66,8193436.82
IBIAM,44195.05,61972.81,101872.99,88739.67,95312.44,108404.5,138562.1,213377.53,147467.51,185472.83,229045.15,294630.22,344267.28
IBICARÉ,292985.48,324620.89,424279.07,518692.28,597341.37,685274.43,786485.81,880189.27,952117.92,896118.11,945552.2,1658679.64,2506935.42
IBIRAMA,4222921.79,4774498.76,5300207.63,6377492.3,7349391.49,8221377.86,8788359.13,9090688.29,9744166.82,10219387.94,11291317.43,11537969.82,14266773.64
IÇARA,12116086.77,14743060.91,16899257.46,20212902.5,23630396.85,26226887.37,27444970.5,28544012.94,31161445.76,35024650.28,36739056.12,41060000.42,50334649.47
ILHOTA,2023623.72,2582193.27,2962372.49,3366758.75,3897123.89,4306206.84,4700364.23,5124809.71,5638044.77,6235031.24,6287248.46,6332984.12,8432771.44
IMARUÍ,296503.72,371549.06,517729.74,660126.49,791411.1,785712.62,888302.8,1051525.4,999036.4,1004509.2,1094835.47,1180699.7,1459941.57
IMBITUBA,4737523.62,5583202.62,6100165.11,7048895.26,8456609.76,9865177.72,11774529.74,13043866.08,14208662.08,15485598.04,15115334.4,15053970.1,19869479.04
IMBUIA,295750.96,347630.12,373395.27,474023.73,583733.55,702334.23,716725.65,767854.54,766514.16,917107.82,1006191.76,1090871.46,1347770.97
INDAIAL,22077589.92,25764088.29,28544598.31,32855670.88,37980289.44,40579504.17,41413475.57,44505451.09,46559960.22,48418857.14,53546775.85,54018556.75,64512931.96
IOMERÊ,318563.74,422278.71,577028.35,655116.22,650464.49,761349.91,908989.3,999491.72,1053609.02,1075743.09,1138544.66,1342707.45,1644870.78
