,Município,1991,2000,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
49,ASSIS CHATEAUBRIAND,33988.0,34008.0,34027.0,34046.0,34064.0,33397.0,33362.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,33003.0,32981.0,-1.0
50,ASTORGA,25745.0,25862.0,25976.0,26087.0,26196.0,26011.0,26111.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,24780.0,24859.0,-1.0
51,ATALAIA,4010.0,4007.0,4004.0,4002.0,3999.0,3902.0,3892.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,3906.0,3898.0,-1.0
52,ATALANTA,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,3291.0,3281.0,3310.0,3296.0,3282.0,3268.0,3254.0,3226.0,3210.0,3195.0,3179.0
53,AURORA,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,5555.0,5561.0,5661.0,5668.0,5674.0,5681.0,5688.0,5676.0,5679.0,5683.0,5687.0
54,BALNEÁRIO ARROIO DO SILVA,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,9858.0,10121.0,10876.0,11248.0,11616.0,11982.0,12344.0,12705.0,13071.0,13430.0,13782.0
55,BALNEÁRIO BARRA DO SUL,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,8614.0,8791.0,9330.0,9580.0,9828.0,10073.0,10317.0,10550.0,10795.0,11035.0,11271.0
56,BALNEÁRIO CAMBORIÚ,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,110748.0,113319.0,120926.0,124557.0,128155.0,131727.0,135268.0,138732.0,142295.0,145796.0,149227.0
57,BALNEÁRIO GAIVOTA,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,8448.0,8655.0,9259.0,9551.0,9841.0,10128.0,10413.0,10692.0,10979.0,11260.0,11537.0
58,BALNEÁRIO PIÇARRAS,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,17552.0,18010.0,19329.0,19976.0,20617.0,21253.0,21884.0,22511.0,23147.0,23772.0,24385.0
59,BALNEÁRIO RINCÃO,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,11136.0,11628.0,11824.0,12018.0,12212.0,12403.0,12570.0,12760.0,12946.0,13129.0
60,BALSA NOVA,12059.0,12200.0,12337.0,12471.0,12602.0,12787.0,12941.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,11422.0,11539.0,-1.0
61,BANDEIRANTE,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,2886.0,2866.0,2865.0,2836.0,2808.0,2779.0,2751.0,2708.0,2678.0,2648.0,2618.0
62,BANDEIRANTES,32800.0,32718.0,32639.0,32562.0,32486.0,31526.0,31367.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,32066.0,31951.0,-1.0
63,BARBOSA FERRAZ,12683.0,12583.0,12487.0,12393.0,12300.0,11714.0,11568.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,12545.0,12437.0,-1.0
64,BARRA BONITA,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1860.0,1853.0,1842.0,1815.0,1790.0,1764.0,1739.0,1704.0,1677.0,1651.0,1625.0
65,BARRA DO JACARÉ,2813.0,2817.0,2821.0,2825.0,2828.0,2781.0,2781.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,2728.0,2728.0,-1.0
66,BARRA VELHA,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,22913.0,23422.0,24943.0,25662.0,26374.0,27080.0,27781.0,28463.0,29168.0,29860.0,30539.0
67,BARRACÃO,10143.0,10187.0,10231.0,10273.0,10314.0,10238.0,10275.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,9766.0,9796.0,-1.0
68,BELA VISTA DA CAROBA,3926.0,3887.0,3848.0,3811.0,3774.0,3567.0,3511.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,3903.0,3861.0,-1.0
69,BELA VISTA DO PARAÍSO,15565.0,15589.0,15612.0,15634.0,15656.0,15395.0,15397.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,15083.0,15087.0,-1.0
70,BELA VISTA DO TOLDO,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,6026.0,6047.0,6191.0,6219.0,6248.0,6276.0,6304.0,6311.0,6337.0,6362.0,6386.0
71,BELMONTE,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,2639.0,2643.0,2692.0,2696.0,2700.0,2705.0,2709.0,2703.0,2706.0,2709.0,2712.0
72,BENEDITO NOVO,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,10434.0,10528.0,10906.0,11037.0,11168.0,11297.0,11425.0,11526.0,11652.0,11775.0,11896.0
73,BIGUAÇU,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,58984.0,59736.0,62383.0,63440.0,64488.0,65528.0,66558.0,67458.0,68481.0,69486.0,70471.0
74,BITURUNA,16416.0,16448.0,16480.0,16511.0,16627.0,16377.0,16389.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,15892.0,15903.0,-1.0
75,BLUMENAU,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,312635.0,316139.0,329082.0,334002.0,338876.0,343715.0,348513.0,352460.0,357199.0,361855.0,366418.0
76,BOA ESPERANÇA,4559.0,4518.0,4478.0,4438.0,4392.0,4165.0,4105.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,4523.0,4479.0,-1.0
77,BOA ESPERANÇA DO IGUAÇU,2763.0,2739.0,2716.0,2694.0,2671.0,2538.0,2503.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,2738.0,2713.0,-1.0
78,BOA VENTURA DE SÃO ROQUE,6702.0,6692.0,6683.0,6674.0,6665.0,6411.0,6387.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,6537.0,6520.0,-1.0
79,BOA VISTA DA APARECIDA,8028.0,7998.0,7968.0,7939.0,7911.0,7643.0,7591.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,7872.0,7834.0,-1.0
80,BOCAINA DO SUL,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,3303.0,3314.0,3393.0,3408.0,3424.0,3440.0,3456.0,3460.0,3474.0,3488.0,3501.0
81,BOCAIÚVA DO SUL,11826.0,11996.0,12159.0,12320.0,12477.0,12755.0,12944.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,11136.0,11280.0,-1.0
82,BOM JARDIM DA SERRA,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,4420.0,4443.0,4566.0,4598.0,4631.0,4663.0,4694.0,4712.0,4743.0,4772.0,4801.0
