municipios,quantidade_ucs,area_coberta,populacao_2010,populacao_2011,populacao_2012,populacao_2013,populacao_2014,populacao_2015,populacao_2016,populacao_2017,populacao_2018,populacao_2019,populacao_2020,massa_salarial_2010,massa_salarial_2011,massa_salarial_2012,massa_salarial_2013,massa_salarial_2014,massa_salarial_2015,massa_salarial_2016,massa_salarial_2017,massa_salarial_2018,massa_salarial_2019,massa_salarial_2020,pib_municipio_2010,pib_municipio_2011,pib_municipio_2012,pib_municipio_2013,pib_municipio_2014,pib_municipio_2015,pib_municipio_2016,pib_municipio_2017,pib_municipio_2018,pib_municipio_2019,pib_municipio_2020,empregados_2010,empregados_2011,empregados_2012,empregados_2013,empregados_2014,empregados_2015,empregados_2016,empregados_2017,empregados_2018,empregados_2019,empregados_2020,estabelecimentos
PRESIDENTE CASTELLO BRANCO,0,0,1711,1711,1697,1691,1670,1650,1630,1610,1590,1568,1547,36983.73,48371.88,65236.36,79165.07,77978.6,118329.94,139682.35,144419.02,155762.21,207523.65,219330.59,27283150,28889630,29260620,36484630,42485650,43463330,47984320,45854850,45954360,54908000,70785000,44,56,70,77,69,91,95,98,108,123,132,1217
PRESIDENTE GETÚLIO,0,0,15084,15084,15273,15943,16210,16474,16736,16996,17215,17471,17726,4457902.5,5166846.09,6281581.29,6966149.15,8222269.22,9048221.35,9755935.64,10210775.5,10974037.57,11745233.04,11773232.15,294793400,290084400,358208500,357778400,493962100,491715000,512337400,625811100,712052200,721514000,774707000,4500,4873,5197,5331,5603,5757,5847,6001,6187,6378,6379,558
PRESIDENTE NEREU,1,56918,2283,2283,2281,2314,2312,2309,2306,2304,2290,2287,2283,98089.14,96873.33,111111.9,139674.25,162961.66,196128.89,193792.98,202471.5,200267.29,251094.21,229354.77,32089340,31336700,36299990,42621000,45065830,44773600,53222240,55113190,52784350,51275000,57694000,121,112,122,131,139,149,138,139,132,152,141,618
PRINCESA,0,0,2770,2770,2780,2848,2862,2877,2891,2906,2911,2924,2937,164467.57,229763.88,351702.2,414302.44,538811.03,597740.17,732264.76,867918.03,1005560.99,1011448.72,1131906.56,26722400,30618960,34906730,53005420,57682200,52504030,66161960,66929040,71458820,74087000,105012000,291,321,355,396,421,398,471,476,512,484,508,4768
QUILOMBO,0,0,10211,10211,10175,10255,10201,10149,10096,10044,9946,9887,9829,2094462.9,2635356.72,2912725.21,3279416.91,3718241.47,4066778.69,4301897.9,4817619.64,4607077.57,5007131.39,5828355.06,366185200,493518800,530080300,454933500,331593400,338345900,356785400,347609400,352659400,364898000,406964000,2089,2245,2355,2435,2425,2431,2373,2405,2286,2371,2852,176
RANCHO QUEIMADO,1,5,2757,2757,2765,2827,2838,2849,2860,2871,2868,2878,2887,270671.05,350372.89,382340.82,415108.19,532105.44,660789.59,744735.53,823534.15,879133.49,946680.1,975835.56,63321100,68498910,60445180,91739930,92018360,102234600,107406800,102976300,117584500,137068000,145895000,274,333,325,326,337,354,331,338,354,350,345,495
RIO DAS ANTAS,0,0,6145,6145,6146,6245,6245,6246,6246,6246,6208,6205,6202,780549.53,883576.18,1033300.53,1129205.07,1219397.15,1260507.84,1432809.45,1386431.88,1313177.88,1327018.87,1470926.11,95049950,98488350,99622640,123850000,149216700,145211100,173948500,176863800,191048000,218674000,255999000,887,930,913,953,963,935,1012,917,789,758,842,688
RIO DO CAMPO,0,0,6167,6167,6143,6185,6149,6113,6078,6043,5979,5940,5902,563626.72,683552.24,848918.47,1127000.88,1244783.77,1325036.19,1430284.05,1386894.63,1455168.4,1569256.81,1613819.15,95858850,96970090,108343900,129977500,138500700,137502800,145613800,162919900,148568800,160482000,184121000,680,730,790,1082,919,856,879,797,803,848,847,835
RIO DO OESTE,0,0,7118,7118,7145,7319,7355,7392,7428,7463,7456,7489,7520,868456.12,1108818.11,1290670.61,1381896.24,1657005.49,1741287.4,1814192.28,1940023.11,1944549.37,2052586.67,1961424.71,118700200,111281000,132319800,156434500,173004100,166332000,196289600,194684900,185465300,207600000,236317000,975,1130,1212,1255,1243,1203,1182,1201,1151,1181,1164,12651
RIO DO SUL,2,23,61931,61931,62658,65256,66251,67237,68217,69188,70100,71061,72006,28553728.64,31765840.64,33962279.6,37267533.71,40340493,40927391.76,43177045.74,46270593.08,49015825.78,50420413.03,52690908.36,1548685000,1787319000,1949443000,2076656000,2502192000,2305880000,2269859000,2572166000,2719646000,2894102000,3115478000,24575,25024,22286,22127,21233,20107,19572,19876,20017,20204,21133,1421
RIO DOS CEDROS,1,130,10388,10388,10488,10879,11019,11157,11295,11431,11542,11676,11808,2799744.54,2999196.37,3282250.84,3711011.91,4408336.54,4822302.33,5065248.6,5091703.94,5752492.7,6334903.15,6907528.94,176187100,228944200,243541700,219963100,251337200,258773000,276834300,310345700,331819900,337173000,389944000,2585,2522,2631,2734,2916,2923,2814,2752,2889,3056,3213,446
RIO FORTUNA,0,0,4456,4456,4466,4557,4569,4582,4594,4606,4601,4611,4620,531309.91,641454.34,755470.24,948866.06,1140253.55,1201742.9,1202262.46,1272716.01,1253280.19,1287536.23,1398741.97,72256300,86172280,91755270,212814900,236880500,229424100,230649900,237809200,238298000,244949000,227717000,601,649,699,789,834,845,798,797,758,788,854,1883
RIO NEGRINHO,4,22659,40011,40011,40169,41167,41386,41602,41817,42029,42106,42302,42495,9571491.26,10480979.89,11700973.76,13238737.32,14616389.61,15831297.31,16559813.74,17427693.58,19417999,20563222.62,21397971.52,653645800,735430100,795632000,869022500,971603000,986804200,997977600,1092653000,1158012000,1232353000,1388843000,9084,9322,9644,9818,9925,9722,9560,9614,10049,10307,10533,308
RIO RUFINO,1,5255,2438,2438,2440,2482,2484,2485,2487,2489,2482,2483,2483,76963.17,120713.55,111189.58,129987.76,160562.55,147861.52,187623.55,320457.95,339787.48,322965.86,405185.74,27392220,30788900,34194420,39431930,37585540,41445300,50193960,50133410,48524940,59284000,67621000,107,154,124,127,149,126,140,189,193,205,207,1078
RIQUEZA,0,0,4813,4813,4789,4810,4775,4740,4705,4670,4636,4598,4561,277522.4,327317.86,405204.78,468218.98,506715.62,556922.63,604710.19,671048.83,657053.96,722805.66,924183.27,47390250,53773460,57254920,69196550,87296860,84656050,91140230,99924650,113274100,125266000,127591000,364,396,423,441,449,440,431,443,420,456,531,300
RODEIO,0,0,10964,10964,11004,11270,11325,11380,11434,11488,11502,11551,11600,3067054.75,3523148.71,3792051.83,4486742.41,4573083.98,4550613.39,4901164.14,5061742.11,4798669.94,4944473.31,4626932.42,158760700,174914100,246585500,232646700,284532200,248128000,259406800,273991100,285412900,305814000,324949000,2974,3124,3059,3139,3011,2782,2735,2664,2451,2451,2372,565
ROMELÂNDIA,0,0,5479,5479,5494,5421,5320,5220,5120,5022,4890,4786,4684,115611.38,133516.66,147206.08,236553.26,234263.26,221083.42,253865.06,350397.22,202699.6,194434.91,239059.56,81548190,101304900,111605300,119907200,78405790,72056540,80286060,82298450,84613460,89444000,105862000,160,169,157,216,204,185,180,212,140,129,161,1472
SALETE,0,0,7386,7386,7402,7553,7573,7594,7614,7634,7626,7642,7659,1618452.25,1794999.61,2047973.12,2484186.65,3011307.13,2907125.54,3213539.83,3303781.37,3648718.59,3754933.72,3505839.23,97466510,110160800,114483400,131622300,166657900,160171900,165733300,180699000,197595800,217401000,290851000,1631,1568,1612,1755,1853,1811,1770,1742,1858,1821,1694,1750
SALTINHO,0,0,3943,3943,3926,3948,3923,3897,3872,3847,3808,3781,3754,121289.36,164098.4,173955.75,145939.08,225050.01,260884.27,303202.59,394666.2,437981.55,549411.73,558914.98,45179230,41564630,90153510,60303520,55490570,58471270,67081990,71691080,70321890,70206000,80393000,168,203,200,230,218,228,240,279,290,326,339,206
SALTO VELOSO,0,0,4332,4332,4361,4495,4536,4576,4616,4655,4680,4718,4756,1259552.47,1414137.78,1370991.11,1562170.62,2111929.63,2046536.43,2017598.96,2301045.74,2480886.05,2510313.4,3028844.24,97550970,187128900,107317900,112113800,163560100,186638100,177396800,171636200,171645900,201505000,239199000,1235,1265,1272,1253,1334,1189,1166,1234,1315,1341,1446,241
SANGÃO,0,0,10575,10575,10744,11294,11532,11767,12001,12233,12446,12678,12905,3176554.09,3823025.01,4301011.25,4803009.32,5132568.09,5316385.58,5547701.65,5843889.93,6328233.54,6695492.68,6818776.76,161084400,180337500,240565200,223246100,233719100,249050300,249404000,280614600,319406600,334671000,362559000,3580,3891,3941,4068,3849,3629,3364,3337,3427,3471,3534,928
SANTA CECÍLIA,0,0,15831,15831,15902,16315,16413,16510,16606,16701,16741,16830,16918,3613249.2,3785216.94,4235313.75,5028833.52,5190845.48,5690655.5,6224438.04,6628383.47,6968155.81,6952611.05,7228884.17,240264600,236905800,274449400,307268500,351765900,362796400,375231500,419310400,470773300,481577000,545063000,3675,3609,3568,4009,3848,3772,3855,3887,3829,3689,3768,192
SANTA HELENA,0,0,26206,28857,2351,2354,2331,2309,2288,2266,2247,25861,26055,154580.75,177492.38,191993.47,232877.61,284699.24,342199.95,364975.52,434024.74,438607.24,512748.65,562273.74,31905690,38058510,38871120,47867870,56747940,53881450,65998550,64421230,70074610,75557000,92098000,179,199,192,217,230,252,237,265,254,268,305,544
SANTA ROSA DE LIMA,1,9,2070,2070,2074,2116,2122,2128,2133,2139,2137,2142,2147,80702.02,138797.86,171635.8,199671.94,215948.85,259586.74,282628.29,253183.29,307855.24,288925.63,306018.15,31270380,34910060,32538570,39067950,44702490,48547250,47267870,48274020,50667770,57497000,64953000,96,143,164,167,165,175,175,170,198,182,193,119
SANTA ROSA DO SUL,0,0,8073,8073,8091,8261,8285,8309,8333,8356,8338,8358,8378,564783.88,680752.35,838952.17,1013795.91,1082017.79,1143151.21,1172731.04,1060807.31,1180518.8,1299759.47,1335718.6,79754730,70875780,82305880,106114000,113629900,112838000,129200900,138941500,132838000,152035000,152707000,693,704,785,834,860,817,743,666,710,753,758,3668
SANTA TEREZINHA,0,0,8762,8762,8756,8883,8873,8864,8855,8846,8801,8787,8773,177575,197777.07,232192.97,303858.76,338140.54,399465.07,458711.36,494855.18,549817.86,638145.03,761611.04,120713000,123193200,142896700,164156900,179002200,162945400,188062100,192739600,181327900,193936000,192847000,224,229,246,293,286,313,325,336,344,401,440,1023
SANTA TEREZINHA DO PROGRESSO,0,0,2857,2857,2818,2776,2720,2666,2611,2557,2484,2428,2372,32441.52,51004.11,76487.41,85675.37,113367.51,131909.78,148925.08,136392.08,164310.5,182962.48,196875.11,29677380,32269370,29326530,37491780,40080470,41400680,46817700,49384190,52365040,52317000,58261000,46,67,87,85,96,102,100,88,101,112,111,2885
SANTIAGO DO SUL,0,0,1448,1448,1431,1414,1389,1365,1341,1317,1286,1260,1235,61023.59,78700.04,105469.97,187370.54,156202.39,175099.72,179970.68,158537.63,171563.66,212260.46,280636.83,27220850,29556300,28921920,40773740,27791890,29932020,32110940,32320850,33849480,35092000,38537000,71,89,99,112,120,128,118,107,110,125,150,2035
SANTO AMARO DA IMPERATRIZ,2,84828,20082,20082,20332,21221,21572,21920,22266,22609,22905,23245,23579,3654403.5,4077881.54,4691916.18,5892716.57,6971937.32,7313657.01,7552826.7,7673930.73,8293838.73,8168704.87,9163214.64,427862700,476204200,498947200,587584900,643747600,656335700,745982700,753918700,848974200,926587000,1032573000,3910,3960,4016,4589,4843,4514,4273,4130,4430,4871,4942,389
SÃO BENTO DO SUL,3,23951,75520,75520,76215,78998,79971,80936,81893,82842,83576,84507,85421,28503918.84,31742511.42,36820541.63,42350737.65,47633576,48282518.12,50847280.44,51603191.82,55163789.78,56434566.19,61477925.94,1889164000,2265017000,2496922000,2690098000,3129774000,2828572000,2652536000,2994813000,3198188000,3323764000,3644559000,23076,23316,23902,24645,25260,24284,23539,22921,23792,24162,25420,1435
SÃO BERNARDINO,0,0,2642,2642,2676,2641,2593,2545,2496,2449,2386,2336,2287,60550.34,95397.41,120381.77,120273.16,202234.3,253237.02,206000.3,327401.68,399878.81,433203.9,415234.66,67575860,44868330,94767740,53266010,48999590,49929060,58747470,57874680,63725680,64038000,78394000,88,125,129,128,172,190,142,202,235,236,233,4624
SÃO BONIFÁCIO,1,83908,2992,2992,2977,2989,2966,2944,2922,2899,2862,2838,2814,163278.46,193918.02,203915.94,239864.35,273188.63,302472.34,339322.45,362488.7,388408.4,398722.88,429453.72,35464200,34906100,38539050,46080930,50858970,50098530,55551720,61837120,71441340,73682000,81195000,216,237,223,247,255,253,260,268,282,294,299,213
SÃO CARLOS,0,0,10363,10363,10431,10753,10849,10944,11038,11132,11191,11281,11369,1419176.31,1740516.72,2104266.53,2571422.87,2718546.44,3031688.5,3166784.44,3545602.7,3720854.96,4250008.77,4029138.83,196063700,224192200,228822400,283377200,265725000,268754100,294553400,340075200,424613800,431403000,439744000,1799,2004,1980,2036,1882,1925,1917,2019,2112,2277,2100,11089
SÃO CRISTOVÃO DO SUL,0,0,5051,5051,5089,5255,5308,5360,5412,5464,5499,5549,5598,765342.85,944820.64,1131719.23,1340664.15,1456089,1648689.5,2060156.13,2252193.86,2369092.52,2232502.69,2586492.72,71357650,75770610,79620090,107766900,112661600,115524100,120723700,147729000,158741400,159871000,161077000,839,899,999,1031,994,1022,1105,1200,1231,1153,1292,211
SÃO DOMINGOS,1,626,9488,9488,9389,9530,9523,9516,9509,9502,9457,9445,9434,1528351.54,1030435.69,1178310.16,1366917.53,1535659.97,1657490.63,1804594.51,1963707.9,1951035.86,2014042.15,2032481.78,183389500,227783900,235305200,290966400,247676000,280101400,326513100,309647800,327326300,310516000,338958000,1399,1074,1061,1129,1157,1129,1151,1162,1119,1078,1094,275
SÃO FRANCISCO DO SUL,3,13370,43305,43305,44064,46477,47547,48606,49658,50701,51677,52721,53746,10935078.1,12708943.67,14071024.57,16748637.93,17926414.86,19776425.29,19532406.77,19711326.28,20833374.74,21988397.16,21722607.97,2107730000,2656569000,2892368000,3279382000,3566016000,3673351000,3589664000,3996444000,4142714000,4237319000,4758498000,6309,6705,7090,7454,7749,7765,7239,7237,7619,7992,8094,1428
SÃO JOÃO BATISTA,0,0,27135,27135,27982,30337,31534,32720,33897,35065,36244,37424,38583,8786162.46,9006024.82,10448630.52,12127849.62,12341473.92,12379847.68,13743593.94,14936280.14,15587150.82,12913294.42,12320544.51,477647700,467623000,479604500,550950400,690230100,688817100,753071100,860361200,898813600,922115000,882425000,8112,7733,7924,8298,7822,7329,7541,7863,7951,8238,6982,512
SÃO JOÃO DO ITAPERIÚ,0,0,3457,3457,3477,3578,3606,3634,3662,3690,3707,3733,3759,454537.62,595707.4,760704.93,972120.73,1380039.89,1551543.92,1784474.71,2233533.02,2384697.1,2451127.05,2624151.41,59225450,59767910,58595400,79394490,131208300,136165300,148741300,169132400,170373600,206272000,241954000,450,504,609,680,812,849,882,1041,1085,1088,1135,1150
SÃO JOÃO DO OESTE,0,0,6055,6055,6074,6211,6235,6260,6285,6309,6359,6381,6402,539626.67,679923.21,830316.53,983293.69,1210414.82,1414760.92,1560821.22,1764188.29,2213855.88,2587060.56,2963454.61,104737500,107303800,116730500,151127800,180311500,176409300,203104800,213293800,221149500,273811000,316607000,642,736,763,802,861,916,946,1001,1092,1252,1346,7739
SÃO JOÃO DO SUL,0,0,7019,7019,7035,7183,7205,7226,7247,7268,7280,7297,7315,258363.05,293147.07,403123.13,884683.72,1140104.29,1184220.36,1247005.57,1288443.44,1280676.4,1255583.77,1231044.55,83266530,76706300,88204700,107977000,129394300,137587600,158620000,188923900,192692600,204292000,238741000,328,346,424,696,796,789,779,770,744,736,735,2518
SÃO JOAQUIM,1,49,24964,24964,25111,25841,26045,26247,26447,26646,26763,26952,27139,3888655.55,4128378.59,4754357.08,5290573.04,5986315.33,6419415.57,7150885.82,7854554.54,8114699.34,8134898.61,8252686.96,390207300,392015200,416983400,500244700,672560900,669566600,880562700,858627100,747203500,894980000,917828000,4904,4816,4914,4968,4979,4872,4986,5105,5125,5468,5200,1769
SÃO JOSÉ,1,26,212587,212587,215278,224779,228561,232309,236029,239718,242927,246586,250181,75332443.67,90235947.47,113738453.63,138771874.95,149931109.67,164246642.9,168931448.15,181452431.56,181906419.43,191383651.13,200964972.72,5115255000,6043045000,6491228000,7661755000,8720751000,9102994000,9885438000,10136637000,10607483000,11290448000,11503140000,72600,78819,87189,95863,96667,95212,90642,91762,88243,93792,102221,563
SÃO JOSÉ DO CEDRO,0,0,13685,13685,13685,13904,13902,13901,13899,13897,13838,13829,13820,1833541.27,2180688.47,2361791.14,2587977.79,2913662.93,3133143.22,3446025.4,3656454.91,4048340.47,3920912.59,3875612.78,238780700,267327200,288646300,332574500,319664800,323367400,386050900,389555600,409457900,418052000,485964000,2290,2408,2448,2472,2544,2521,2508,2519,2597,2502,2429,45627
SÃO JOSÉ DO CERRITO,0,0,9188,9188,9104,9061,8941,8823,8705,8588,8421,8295,8173,290265.05,318376.35,385363.4,449298.32,540367.06,571517.67,642045.38,722348.74,913918.54,959169.38,996108.47,92018620,88958730,105519600,238406600,229292200,198892600,282672800,228025000,249339600,262282000,194120000,354,347,388,385,418,398,405,423,482,481,462,4212
SÃO LOURENÇO DO OESTE,0,0,21964,21964,22062,22786,23017,23245,23473,23698,23857,24076,24291,7532890.69,8620911.97,10019019.77,11698319.21,13353148.91,14060169.55,16046777.06,16962182.83,20218739.48,21785621.72,21809083.49,450919800,580336700,593782400,708563900,762481100,739851000,806590700,839371200,960833900,1112706000,1192246000,6899,6991,7310,7597,7792,7472,7681,7595,8495,9146,8907,609
SÃO LUDGERO,0,0,11178,11178,11357,11940,12192,12441,12688,12934,13165,13410,13650,3710353.19,4273962.94,5275341.14,6096134.99,7245169.72,8259641.24,8432265.69,9313868.02,10045611.48,10572035.71,11641583.52,337295800,395682800,430404100,558071600,583232100,596577800,588317700,582933900,636350300,694910000,772368000,3325,3396,3787,3867,3983,3930,3927,4104,4310,4547,4659,830
SÃO MARTINHO,1,83908,3205,3205,3200,3239,3232,3224,3217,3210,3189,3180,3171,336393.27,397897.36,469138.44,550739.33,678966.59,781571.7,805638.39,912917.61,848173.35,891436.5,904172.21,47951090,55134560,60013850,63676070,70528450,68371260,76439180,75106770,81324960,81160000,89609000,399,433,455,479,516,518,505,531,493,533,549,825
SÃO MIGUEL DA BOA VISTA,0,0,1896,1896,1887,1897,1885,1872,1860,1848,1833,1820,1807,24823.25,25216.9,31293.06,49402.13,42323.02,48350.62,51879.95,56346.01,49586.06,55864.47,55784.56,22193440,20326000,22164920,27242710,30576270,29729490,34731750,34044230,36642240,39544000,47545000,25,25,30,40,33,36,33,34,30,34,32,3826
SÃO MIGUEL DO OESTE,0,0,36612,36612,36908,38162,38575,38984,39390,39793,40090,40482,40868,8465072.02,10051716.27,11488496.91,13720454.64,16050626.14,17475502.49,19695605.65,21088420.07,22945812.17,24850125.61,26875555.97,898067100,1024749000,1146401000,1286907000,1292020000,1276724000,1356167000,1449729000,1521972000,1675133000,1810750000,8706,9198,9281,9795,10508,10445,10577,10720,11089,11628,12036,1717
SÃO PEDRO DE ALCÂNTARA,1,20,4790,4790,4874,5139,5256,5373,5488,5602,5709,5823,5935,475794.34,612783.44,691635.34,317296.65,420600.94,484651.11,562979.96,545695.95,459781.87,491831.24,522440.45,41325210,43798600,49626860,52531500,57104940,68109630,73636710,71308840,80862720,87589000,93152000,658,765,785,255,293,307,306,308,277,273,273,400
SAUDADES,0,0,9070,9070,9121,9382,9454,9524,9594,9664,9679,9745,9810,2365815.37,2653366.52,2844575.54,3993739.26,4569764.4,4847373.25,4747010.19,4893669.82,5463538.88,5242456.59,6484057.36,190421000,214263500,242754500,270974400,248760800,267730800,282391700,324686900,321903400,384604000,411702000,2438,2429,2229,2551,2646,2684,2403,2431,2620,2646,2767,106
SCHROEDER,1,1616,15790,15790,16248,17538,18186,18827,19463,20095,20728,21365,21991,4658742.34,5554036.34,5770205.42,6503822.09,7662859.45,7548467.25,7545250.85,8212080.55,8305169.75,8834900.17,8906309.92,267424200,312350200,333701400,390321700,425795700,392659500,424299700,483796100,499669800,524879000,608470000,3366,3549,3409,3427,3749,3424,3318,3489,3378,3451,3562,6842
SEARA,0,0,16971,16971,17005,17351,17395,17439,17483,17526,17506,17541,17576,5063423.7,5624441.24,6148419.19,6477637.85,7441091.09,9000521.74,9825999.13,10481268.9,10859331.63,12237826.49,13887712.59,474759200,453236500,504659100,534295800,736786100,756414900,756693700,812914100,799912600,896557000,1014880000,5342,5268,5268,4978,5032,5674,5790,5921,6153,6381,7641,565
SERRA ALTA,0,0,3282,3282,3279,3323,3317,3312,3307,3301,3270,3263,3256,463754.87,517310.33,604319.55,739062.36,795300.11,842350.31,880379.3,899469.89,950682.25,979714.36,1135259.72,77421010,100814200,103339900,109336000,89135670,100351100,109147500,77387950,81305770,87123000,97517000,555,551,579,641,640,633,607,576,581,603,609,2767
SIDERÓPOLIS,1,7853,13069,13069,13137,13499,13593,13686,13778,13870,13920,14007,14092,3713728.66,4081545.26,4163094.79,4978091.11,5190758.77,5469486.87,5547236.15,5901542.85,6071408.5,7176713.44,7629236.7,276478200,293505800,261649300,416706400,477141400,503538600,407226700,458519200,466716900,525771000,615207000,3087,3250,3145,3288,3009,2896,2706,2658,2703,2994,3019,828
SOMBRIO,0,0,26894,26894,27165,28209,28589,28966,29340,29710,30010,30374,30733,4481147.8,5139096.61,6054806.06,6999162.76,7666808.06,8155455.1,9032389.16,9932778.89,10425272.94,10293181.85,9474321.1,439222300,473403300,504671700,526865900,589341800,615206100,675326100,752081700,785293200,803393000,783607000,5573,5714,5959,5990,6005,5787,5905,5920,5936,6089,5562,163
SUL BRASIL,0,0,2740,2740,2714,2698,2661,2624,2587,2551,2500,2461,2423,143862.25,178948.11,237031.03,223912.86,251078.45,265441.13,259155.86,244613.55,256291.66,343030.54,372624.46,69654860,75311320,78097580,85060740,59862290,74191370,82098320,51487240,56385680,63196000,75279000,222,238,283,265,261,250,216,194,203,217,223,7709
TAIÓ,0,0,17337,17337,17412,17856,17959,18060,18161,18261,18302,18395,18486,4205190.04,4954458.51,5698304.85,6203065.35,6992207.61,7749813.71,8491245.54,8886184.67,9407847.62,10293150.88,9964486.31,343181500,366092900,439863200,413939200,479103000,493008700,525021900,573678500,599958700,667409000,718776000,3871,4062,4351,4329,4141,4155,4215,4185,4270,4454,4438,470
TANGARÁ,0,0,8668,8668,8653,8777,8767,8757,8748,8738,8691,8676,8662,1915902.25,2270649.95,2490239.55,2800018.58,3256131.57,3546365.7,3701730.4,4014589.94,4327267.73,4384670.52,4521828.21,230221000,253416700,251501600,292343000,348965100,355578600,394759800,411972100,409469400,437886000,478595000,1622,1757,1697,1724,1845,1795,1820,1869,1906,1882,1897,542
TIGRINHOS,0,0,1748,1748,1739,1746,1733,1720,1707,1695,1646,1633,1619,22435.84,32242.25,47405.42,54713.53,64842.02,72369.71,67742.11,97377.56,130946.26,161485.08,193806.63,18899250,22231340,22477970,29125490,30170850,32105470,36463090,37668010,42286820,60606000,50565000,30,39,54,51,59,58,51,68,82,88,90,8063
TIJUCAS,0,0,31533,31533,32087,33847,34628,35402,36170,36931,37645,38407,39155,10425029.64,12006135.31,14529455,17899547.32,20756386.64,22612865.51,24221231.68,25299639.04,28854631.09,29610275.47,32433691.38,692919900,831267200,954874900,1188294000,1359737000,1400274000,1391976000,1467125000,1539749000,1735631000,1893895000,8171,8373,8989,9785,10327,10268,10295,10380,11489,11958,12755,333
TIMBÉ DO SUL,0,0,5307,5307,5306,5387,5385,5382,5379,5377,5354,5348,5343,300566.93,348898.64,451593.68,525440.44,515802.76,508817.98,610782.64,818759.52,788726.19,751184.74,733930.61,74484980,65261650,80990260,85231570,90984720,90814880,108889100,115360400,128869600,129154000,142580000,380,406,463,489,453,406,406,414,432,412,401,1431
TIMBÓ,1,36,37344,37344,37894,39740,40515,41283,42045,42801,43484,44238,44977,19827432.21,21049374.09,23875821.25,26827097.93,29101507.39,30362608.72,33046401.58,35221753.46,36911943.78,39987720.66,41092621.8,1000350000,1179960000,1247230000,1379036000,1745717000,1598015000,1701695000,1832567000,1858869000,1967801000,2092793000,14505,14434,14877,15118,15202,14641,14627,15059,15088,15878,16486,902
TIMBÓ GRANDE,0,0,7219,7219,7268,7495,7563,7632,7699,7767,7812,7877,7941,680651.57,1139879.69,902928.56,1477493.44,1650787.87,1739110.59,1878476.7,2130745.31,2206964.81,2163736.2,2308184.44,91348910,107143700,114925200,142164500,156634900,171692600,169886400,187298400,197331000,190140000,217023000,860,1111,981,1242,1240,1202,1191,1277,1255,1258,1224,954
TRÊS BARRAS,1,4385,18207,18207,18281,18740,18843,18945,19046,19146,19183,19275,19366,5154042.28,6713557.84,7720504.09,8152259.84,10273393.88,10664348.46,11379322.63,12027558.91,12884001.88,14526771.39,14954475.44,392282300,467909500,587472500,684588200,889662700,833137800,906489500,1043119000,1113578000,1150828000,1305543000,3359,3608,3784,4020,4347,4121,4170,4273,4482,4792,4725,1558
TREVISO,1,7853,3557,3557,3585,3706,3746,3785,3824,3863,3891,3929,3966,2236695.36,2480367.47,2272402.62,3670714.2,4315020.98,4260267.21,4450925.94,4533581.31,5062038.12,4683713.63,5081096.63,139646100,143041200,159451300,243688400,223315000,254366900,218282600,215595300,204543700,211614000,245279000,1354,1408,1240,1624,1680,1521,1436,1461,1443,1358,1374,18720
TREZE DE MAIO,0,0,6889,6889,6901,7036,7052,7067,7082,7098,7070,7081,7093,1120265.1,1337722.96,1531577.25,1783484.71,1822585.17,1898196.35,2306644.7,2369872.17,2600883.76,2741618.16,2561686.18,88247840,86310200,89980740,111235100,113165100,125473600,142827300,143733800,147503900,164576000,166853000,1252,1425,1479,1545,1505,1519,1610,1568,1607,1646,1561,562
TREZE TÍLIAS,0,0,6457,6457,6568,6925,7082,7237,7392,7545,7687,7840,7991,2156462.37,2713323.04,3260616.27,4212924.47,5138365.2,6067845.7,6762679.03,7329436.42,8312754.86,8893382.66,9149168.71,199684500,241047500,327664300,337485800,533596600,475913400,547182300,614882400,613122700,711248000,773110000,1866,2057,2296,2642,2843,3110,3142,3269,3438,3620,3762,1787
TROMBUDO CENTRAL,0,0,6612,6612,6668,6901,6979,7057,7135,7211,7284,7360,7434,2272664.12,2379362.37,2724413.38,3233183.68,3596729.73,3642260.25,3519574.06,3542788.33,3953759.7,4405327.66,4546554.17,149526200,167705000,179295000,214704100,257457500,212757800,222096100,232396400,254268500,277000000,312661000,1742,1643,1724,1817,1791,1658,1565,1531,1604,1705,1803,255
TUBARÃO,1,154859,97833,97833,98412,101284,102087,102883,103674,104457,104937,105686,106422,30780180.08,34955740.18,40321336.71,46764256.89,50955514.93,53192032.7,54685887.86,58007517.87,59118829.24,62210680.37,59640179.57,1980404000,2256208000,2502550000,2791737000,3317474000,3237605000,3405754000,3516205000,3741552000,3961862000,4043575000,28448,29957,30746,31841,32146,30021,29198,29288,28875,30469,29702,1828
TUNÁPOLIS,0,0,4622,4622,4612,4660,4644,4628,4612,4597,4561,4543,4525,247583.36,337926.27,386910.43,522366.44,619602.94,659022.77,731230.44,825286.93,884433.77,961482.28,1030929.63,60452070,67617240,72570200,90271740,99683450,99724760,113141600,119101800,124217800,142135000,172055000,328,400,415,518,558,549,537,577,591,602,628,220
TURVO,0,0,13340,25144,12001,12353,12452,12551,12649,12746,12806,26616,26618,3373441.87,3977178.06,4816054.47,5412875.03,6470406.9,7175702.13,7288611.1,7541224.89,8431785.05,7666000.27,8162186.31,304084800,283355800,338854100,336794300,462459300,457173700,495430700,518351300,538191700,535770000,644540000,3284,3468,3674,3655,3946,3932,3645,3722,3917,3825,3819,2061
