municipios,quantidade_ucs,area_coberta,populacao_2010,populacao_2011,populacao_2012,populacao_2013,populacao_2014,populacao_2015,populacao_2016,populacao_2017,populacao_2018,populacao_2019,populacao_2020,massa_salarial_2010,massa_salarial_2011,massa_salarial_2012,massa_salarial_2013,massa_salarial_2014,massa_salarial_2015,massa_salarial_2016,massa_salarial_2017,massa_salarial_2018,massa_salarial_2019,massa_salarial_2020,pib_municipio_2010,pib_municipio_2011,pib_municipio_2012,pib_municipio_2013,pib_municipio_2014,pib_municipio_2015,pib_municipio_2016,pib_municipio_2017,pib_municipio_2018,pib_municipio_2019,pib_municipio_2020,empregados_2010,empregados_2011,empregados_2012,empregados_2013,empregados_2014,empregados_2015,empregados_2016,empregados_2017,empregados_2018,empregados_2019,empregados_2020,estabelecimentos
BOM JARDIM DA SERRA,1,49672,4420,4420,4443,4566,4598,4631,4663,4694,4712,4743,4772,217369.47,257200.92,281406.75,307751.16,363413.92,454140.71,449912.11,453231.63,482260.66,600321.59,578395.66,56027370,69526160,70472500,77810440,83543320,78719690,116194300,119837200,99802520,132717000,242312000,295,316,305,300,309,324,315,306,312,359,319,4767
BOM JESUS,6,4257,2563,2563,2599,2721,2771,2821,2870,2919,2961,3010,3057,217863.25,226551.23,277021.57,306059.04,396603.9,443783.44,509701.87,540443.52,626240.49,671508.2,703075.22,46692110,62286020,63531590,73065850,56648550,64665360,93090790,92071150,100707300,119112000,131102000,237,226,248,267,295,295,303,301,334,336,335,626
BOM JESUS DO OESTE,0,0,2131,2131,2130,2160,2158,2156,2153,2151,2146,2142,2139,64341.89,89831.99,77572.15,110191.26,135113.45,137242.1,135485.88,194687.89,201881.97,215767.31,243374.1,64023030,72591660,75412000,87772540,41716770,41243680,42792590,52470630,52850600,53813000,64583000,91,113,94,111,120,111,101,136,140,132,156,450
BOM RETIRO,0,0,9017,9017,9090,9397,9498,9598,9698,9796,9870,9966,10060,1247606.39,1199495.7,1332351.82,1595388.35,1777161.63,1855007.15,1824838.36,1930957.3,1878484.59,1971485.16,1818563.19,147648500,165446600,179431900,230571900,229038800,232721400,285350100,254185500,272608600,313892000,346836000,1429,1228,1219,1347,1329,1269,1204,1190,1115,1162,1082,177
BOMBINHAS,1,17105,14722,14722,15136,16311,16897,17477,18052,18623,19193,19769,20335,2875240.43,3424832.68,4090425.19,4751467.14,5539740.03,6254016.14,7402174.21,8389805.76,8862867.84,8766781.09,8501806.14,283236200,286357300,332352700,368731700,451195100,512112100,593208900,598334900,655739700,721662000,787570000,3276,3479,3661,3814,4053,4205,4663,4986,5007,4735,4879,22809
BOTUVERÁ,2,56963,4527,4527,4584,4785,4864,4943,5022,5100,5169,5246,5322,1969174.11,2121054.85,2780808.87,3665933.84,4146765.83,4110265.02,4451287.06,4943612.69,5073896.03,5341340.66,5867470.73,102589600,106425300,117963100,171422000,223517600,231446500,250924700,282609600,321269100,325291000,348847000,1491,1579,1758,1962,1992,1809,1830,1876,1827,1953,2035,806
BRAÇO DO TROMBUDO,0,0,3478,3478,3498,3599,3627,3654,3682,3709,3718,3743,3769,1759127.01,2066169.04,2203091.4,2386919.61,2497411.74,2628528.34,2802573.86,2343566.12,2562994.97,2629697.15,2759019.84,108789300,137937100,140111000,150053900,177309200,143141900,140351500,137910600,155673300,155526000,181509000,1095,1167,1143,1203,1186,1096,1112,925,955,938,980,270
BRUNÓPOLIS,0,0,2814,2814,2778,2741,2690,2639,2589,2539,2473,2420,2368,72561.58,69670.71,73697.8,96315.48,176697.58,131908,156435.65,321210.54,348729.2,398375.64,440391.71,41162030,50761550,63926010,51258730,60321180,64094670,76313290,76675070,81241720,90130000,95763000,86,78,74,87,148,98,105,185,198,194,206,16301
BRUSQUE,2,518,107764,107764,109950,116634,119719,122775,125810,128818,131703,134723,137689,55037885.39,60769186.01,68888759.91,77366341.21,86764172.68,89153389.73,91641999.56,100046515.59,106810390.12,106751610.28,111967539.32,3346225000,3628164000,3937395000,4394724000,5256958000,4953144000,5249639000,5885107000,6375501000,6931830000,7001785000,41448,42111,43173,43726,44846,42309,40395,42157,43410,42941,43843,1573
CAÇADOR,1,706,71334,71334,71886,74276,75048,75812,76571,77323,77863,78595,79313,22406178.58,25009846.39,28828083.04,34286619.58,37761515,40322372.27,43611334.38,44649031.49,48019038.01,49265975.99,54089812.13,1534459000,1780967000,1906689000,2559871000,2714396000,2588654000,2733645000,3074094000,3298867000,3530193000,3967128000,19409,19479,19646,20833,20894,20217,20282,20163,20835,21230,22329,579
CAIBI,0,0,6209,6209,6199,6274,6259,6243,6228,6213,6167,6148,6130,855644.05,965897.91,1131732.89,1325908.75,1600483.31,1643830.11,1745424.19,1800019.03,2021018.68,2194379.83,2621038.62,98726650,113739200,107883400,126888900,182406500,169217300,183043100,197558600,207598700,250713000,285306000,865,920,962,1045,1109,1040,1026,1001,1036,1097,1209,1302
CALMON,0,0,3381,3381,3375,3416,3407,3398,3389,3380,3357,3346,3335,292604.08,296365.26,309111.07,402249.87,415903.77,438290.94,439434.23,456118.14,482480.38,600162.67,742609.99,56991220,48296110,43038090,68969230,60512250,65974590,76734740,63554220,70124990,78612000,85931000,364,345,310,330,314,288,294,310,301,363,396,4180
